name,address,phone,categories,rating,reviews,latitude,longitude,placeid,website,claimed,opening_hours,addr1,addr2,addr3,addr4,addr5,addr6,addr7,thumbnail,row
Pizza Monkey Pécs,"Pécs, Kolozsvár u. 20, 7623",06 30 222 7000,"Pizza delivery, Meal delivery, Pizza takeaway",3.5,235,46.0686748,18.2189755,ChIJd8qrTfaxQkcRr73MZArQiYo,https://pecs.pizzamonkey.hu/,yes,"Wednesday: 11 AM–9 PM, Thursday: 11 AM–9 PM, Friday: 11 AM–10 PM, Saturday: 11 AM–10 PM, Sunday: 11 AM–10 PM, Monday: 11 AM–9 PM, Tuesday: 11 AM–9 PM",,Kolozsvár u. 20,Kolozsvár u. 20,Pécs,7623,,HU,https://lh5.googleusercontent.com/p/AF1QipO0Zg3dq7cRU3zxefMr6R3ySB3ZsStJTA13VzHK=w360-h270-k-no,0
Pizzaboy,"Pécs, Csikor Kálmán u. 24, 7631",(06 72) 435 262,Pizza restaurant,3.8,430,46.0445589,18.2349308,ChIJXd5Z3tyzQkcRflXRyo1zs9Q,http://pizzaboypecs.hu/,yes,"Wednesday: 10 AM–10 PM, Thursday: 10 AM–10 PM, Friday: 10 AM–10 PM, Saturday: 10 AM–10 PM, Sunday: 10 AM–10 PM, Monday: 10 AM–10 PM, Tuesday: 10 AM–10 PM",,Csikor Kálmán u. 24,Csikor Kálmán u. 24,Pécs,7631,,HU,https://lh5.googleusercontent.com/p/AF1QipMMJEXoNA1KJwcqMo3dA4rTuE2_otJQXJ0iAcsz=w383-h256-k-no,0
Repeta,"Pécs, Nagy Lajos király útja 12, 7622",06 70 523 2350,"Fast food restaurant, Meal delivery, Pizza delivery, Restaurant",4.5,1406,46.0707685,18.229090499999998,ChIJL9Dmb56xQkcR_MYrkuEwXdw,http://repetagyros.hu/,yes,"Wednesday: 9 AM–9 PM, Thursday: 9 AM–9 PM, Friday: 9 AM–9 PM, Saturday: 9 AM–9 PM, Sunday: Closed, Monday: 9 AM–9 PM, Tuesday: 9 AM–9 PM",,Nagy Lajos király útja 12,Nagy Lajos király útja 12,Pécs,7622,,HU,https://lh5.googleusercontent.com/p/AF1QipMAB2oKA3kq5tVvgxinIcxDKxFUqiLYxmNrTSO7=w360-h481-k-no,0
Új Dupla Pizza,"Pécs, Esztergár Lajos u. 10, 7633",06 70 945 9494,"Pizza restaurant, Meal delivery, Pizza delivery, Pizza takeaway, Restaurant",3.5,28,46.064132,18.1915908,ChIJC_8K6SuxQkcRlZdgw5qsZK4,http://www.ujduplapizza.hu/,yes,"Wednesday: 4 PM–12:30 AM, Thursday: 4 PM–12:30 AM, Friday: 11 AM–1 AM, Saturday: 4 PM–1 AM, Sunday: 11 AM–1 AM, Monday: Closed, Tuesday: 4 PM–12:30 AM",,Esztergár Lajos u. 10,Esztergár Lajos u. 10,Pécs,7633,,HU,https://lh5.googleusercontent.com/p/AF1QipPinQoIXq6IYke04lPSrvcVKNsNjAL5V9T9zkmF=w384-h256-k-no,0
San Castello Pizza & Restaurant,"Pécs, Megyeri út 72, 7631",06 30 236 6649,Meal delivery,4.9,42,46.0554741,18.209277699999998,ChIJd8Q4gqizQkcRFwJYznuMu6I,http://sancastello.hu/,yes,"Wednesday: 4:30–10 PM, Thursday: 4:30–10 PM, Friday: 4:30–10 PM, Saturday: 4:30–10 PM, Sunday: 11:30 AM–9:30 PM, Monday: Closed, Tuesday: 4:30–10 PM",,Megyeri út 72,Megyeri út 72,Pécs,7631,,HU,https://lh5.googleusercontent.com/p/AF1QipOWnNQ9OwmJlskfqPzeQCVR-2OWkHGXUqAe3CMt=w455-h256-k-no,0
Pizza Studio Pécs,"Pécs, Verseny u. 17, 7622",06 30 156 3142,Pizza delivery,3.6,26,46.0621441,18.2192556,ChIJj0mM7RixQkcRJbYyzMcb0hw,https://pizzastudiopecs.hu/,yes,"Wednesday: 10:30 AM–11 PM, Thursday: 10:30 AM–11 PM, Friday: 10:30 AM–2 AM, Saturday: 10:30 AM–2 AM, Sunday: 10:30 AM–11 PM, Monday: 10:30 AM–11 PM, Tuesday: 10:30 AM–11 PM",,Verseny u. 17,Verseny u. 17,Pécs,7622,,HU,https://lh5.googleusercontent.com/p/AF1QipNHKOA6M6voNMsyTnANsvzh2OQy7a-mFIiAT8Nn=w360-h270-k-no,0
Gömböc Pizzéria,"Pécs, Nagy Imre utca 70, 7632",06 30 899 9303,Restaurant,4.6,1035,46.040240499999996,18.2162748,ChIJXVsiLcqzQkcRNhfwoAKjMQE,http://gombocpizzeria.hu/,yes,"Wednesday: 10:30 AM–10 PM, Thursday: 10:30 AM–10 PM, Friday: 10:30 AM–11 PM, Saturday: 11 AM–10 PM, Sunday: 11 AM–9 PM, Monday: 10:30 AM–9 PM, Tuesday: 10:30 AM–10 PM",,Nagy Imre utca 70,Nagy Imre utca 70,Pécs,7632,,HU,https://lh5.googleusercontent.com/p/AF1QipMfxlzuHep6-48uElrBDGsHYSGLzdmcl_ebO1gv=w360-h270-k-no,0
Tutto Bene Pizzéria,"Pécs, Megye u. 24, 7621",(06 72) 226 644,Pizza restaurant,4.1,36,46.079234299999996,18.2305487,ChIJ_QvXRqGxQkcRhC3XdBU1xAE,http://www.tuttobene.hu/,no,"Wednesday: 11:30 AM–10 PM, Thursday: 11:30 AM–10 PM, Friday: 11:30 AM–10 PM, Saturday: 11:30 AM–10 PM, Sunday: Closed, Monday: 11:30 AM–10 PM, Tuesday: 11:30 AM–10 PM",,Megye u. 24,Megye u. 24,Pécs,7621,,HU,https://lh5.googleusercontent.com/p/AF1QipPCmGBEcENHXzXLpQyQXqKEioqme1TPHorWdYue=w360-h351-k-no,0
Gól Söröző és Pizzéria,"Pécs, József Attila u. 41, 7623",(06 72) 315 493,Pizza restaurant,4.4,51,46.0707155,18.2158358,ChIJ7ZeKmpCxQkcR5pTDylNUfEQ,http://www.ernestopizza.hu/,yes,"Wednesday: 4–11 PM, Thursday: 4–11 PM, Friday: 4–11 PM, Saturday: 4–11 PM, Sunday: 4–11 PM, Monday: 4–11 PM, Tuesday: 4–11 PM",,József Attila u. 41,József Attila u. 41,Pécs,7623,,HU,https://lh5.googleusercontent.com/p/AF1QipOGhmbISIlIkzPOmcZ_ZMO5X8e6iMSjOu-wx_LA=w360-h270-k-no,0
Pizza Me,"Pécs, Király u. 7, 7621",06 20 334 9219,Pizza restaurant,4.1,58,46.0764931,18.2296761,ChIJ21wRuKyxQkcR1L_BFcmgyYQ,http://www.pizzame.hu/,yes,"Wednesday: 11 AM–4 AM, Thursday: 11 AM–4 AM, Friday: 11 AM–4 AM, Saturday: 11 AM–4 AM, Sunday: 11 AM–12 AM, Monday: 11 AM–12 AM, Tuesday: 11 AM–12 AM",,Király u. 7,Király u. 7,Pécs,7621,,HU,https://lh5.googleusercontent.com/p/AF1QipM7FgeHiZgK4xXdOkqmehDyDuDFuiww9dmHs4GU=w360-h270-k-no,0
